rank_seq,rank,brand,model,count,series_url,brand_conf,series_conf,title_raw,brand_ja,model_ja
114,114,奥迪A,3,,,0.70,0.70,奥迪A3,,
115,115,红旗E,-QM5,,,0.70,0.70,红旗E-QM5,,
116,116,理想L,7,,,0.70,0.70,理想L7,,
117,117,五菱宏,光,,,0.70,0.70,五菱宏光,,
118,118,岚图FRE,E,,,0.70,0.70,岚图FREE,,
119,119,长安UNI,-V,,,0.70,0.70,长安UNI-V,,
120,120,传祺M,8,,,0.70,0.70,传祺M8,,
121,121,瑞虎,5x,,,0.70,0.70,瑞虎5x,,
122,122,五菱宏光,V,,,0.70,0.70,五菱宏光V,,
123,123,哈弗H,6,,,0.70,0.70,哈弗H6,,
124,124,MG,5,,,0.70,0.70,MG5,,
125,125,北京越野BJ,30,,,0.70,0.70,北京越野BJ30,,
126,126,魏牌,高山,,,0.70,0.70,魏牌 高山,,
127,127,皇冠陆,放,,,0.70,0.70,皇冠陆放,,
128,128,豹,5,,,0.70,0.70,豹5,,
129,129,君,越,,,0.70,0.70,君越,,
130,130,小鹏P,7+,,,0.70,0.70,小鹏P7+,,
131,131,英仕,派,,,0.70,0.70,英仕派,,
132,132,红旗HS3,PHEV,,,0.70,0.70,红旗HS3 PHEV,,
133,133,AION,RT,,,0.70,0.70,AION RT,,
134,134,捷达VS,5,,,0.70,0.70,捷达VS5,,
135,135,唐新能,源,,,0.70,0.70,唐新能源,,
136,136,问界M,5,,,0.70,0.70,问界M5,,
137,137,长安启源A,07,,,0.70,0.70,长安启源A07,,
138,138,五菱宏光新能,源,,,0.70,0.70,五菱宏光新能源,,
139,139,宝马X,5,,,0.70,0.70,宝马X5,,
140,140,T,-ROC探歌,,,0.70,0.70,T-ROC探歌,,
141,141,领克,06,,,0.70,0.70,领克06,,
142,142,别克GL,8,,,0.70,0.70,别克GL8,,
143,143,捷途山海L,7,,,0.70,0.70,捷途山海L7,,
144,144,风云T,9,,,0.70,0.70,风云T9,,
145,145,五菱之光新能,源,,,0.70,0.70,五菱之光新能源,,
146,146,天,籁,,,0.70,0.70,天籁,,
147,147,北京越野BJ,40增程,,,0.70,0.70,北京越野BJ40增程,,
148,148,长安CS,55PLUS,,,0.70,0.70,长安CS55PLUS,,
149,149,蔚来ET,5T,,,0.70,0.70,蔚来ET5T,,
150,150,firefly萤火,虫,,,0.70,0.70,firefly萤火虫,,
151,151,极氪,007,,,0.70,0.70,极氪007,,
152,152,小鹏G,6,,,0.70,0.70,小鹏G6,,
153,153,宝马X,1,,,0.70,0.70,宝马X1,,
154,154,阿维塔,06,,,0.70,0.70,阿维塔06,,
155,155,AION,S,,,0.70,0.70,AION S,,
156,156,瑞虎,7,,,0.70,0.70,瑞虎7,,
157,157,理想L,9,,,0.70,0.70,理想L9,,
158,158,伊兰,特,,,0.70,0.70,伊兰特,,
159,159,思,域,,,0.70,0.70,思域,,
160,160,欧拉好,猫,,,0.70,0.70,欧拉好猫,,
161,161,坦克,300,,,0.70,0.70,坦克300,,
162,162,坦克,500新能源,,,0.70,0.70,坦克500新能源,,
163,163,智己LS,6,,,0.70,0.70,智己LS6,,
164,164,问界M,7,,,0.70,0.70,问界M7,,
165,165,唐,L,,,0.70,0.70,唐L,,
166,166,君,威,,,0.70,0.70,君威,,
167,167,奇,骏,,,0.70,0.70,奇骏,,
168,168,航海,家,,,0.70,0.70,航海家,,
169,169,极氪,001,,,0.70,0.70,极氪001,,
170,170,海豹,06GT,,,0.70,0.70,海豹06GT,,
171,171,宝骏悦也Plu,s,,,0.70,0.70,宝骏悦也Plus,,
172,172,纳米,01,,,0.70,0.70,纳米01,,
173,173,阿维塔,07,,,0.70,0.70,阿维塔07,,
174,174,传祺M,6,,,0.70,0.70,传祺M6,,
175,175,极狐,阿尔法T5,,,0.70,0.70,极狐 阿尔法T5,,
176,176,凯迪拉克XT,5,,,0.70,0.70,凯迪拉克XT5,,
177,177,途,昂,,,0.70,0.70,途昂,,
178,178,哈弗枭龙MA,X,,,0.70,0.70,哈弗枭龙MAX,,
179,179,极狐,阿尔法S5,,,0.70,0.70,极狐 阿尔法S5,,
180,180,荣威D,6,,,0.70,0.70,荣威D6,,
181,181,理想MEG,A,,,0.70,0.70,理想MEGA,,
182,182,坦克,400新能源,,,0.70,0.70,坦克400新能源,,
183,183,领克10,EM-P,,,0.70,0.70,领克10 EM-P,,
184,184,悦意,03,,,0.70,0.70,悦意03,,
185,185,海豹06,DM-i旅行版,,,0.70,0.70,海豹06 DM-i旅行版,,
186,186,锐,界,,,0.70,0.70,锐界,,
187,187,瑞虎,9,,,0.70,0.70,瑞虎9,,
188,188,零跑T,03,,,0.70,0.70,零跑T03,,
189,189,蔚来ES,6,,,0.70,0.70,蔚来ES6,,
190,190,高尔,夫,,,0.70,0.70,高尔夫,,
191,191,传祺GS,8,,,0.70,0.70,传祺GS8,,
